# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
30 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.8623046875 -28905.869140625 -1234.4681396484375 1 0029.png

31 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.859375 -28915.89453125 -1234.4232177734375 1 0030.png

32 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.856201171875 -28925.91796875 -1234.3782958984375 1 0031.png

33 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.853271484375 -28935.94140625 -1234.333251953125 1 0032.png

34 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.85009765625 -28945.966796875 -1234.288330078125 1 0033.png

35 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.846923828125 -28955.990234375 -1234.243408203125 1 0034.png

36 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.843994140625 -28966.015625 -1234.1983642578125 1 0035.png

37 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.8408203125 -28976.0390625 -1234.1534423828125 1 0036.png

38 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.837890625 -28986.064453125 -1234.1085205078125 1 0037.png

39 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.834716796875 -28996.087890625 -1234.0634765625 1 0038.png

40 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.83154296875 -29006.111328125 -1234.0185546875 1 0039.png

41 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.82861328125 -29016.13671875 -1233.9736328125 1 0040.png

42 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.825439453125 -29026.16015625 -1233.9285888671875 1 0041.png

43 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.822265625 -29036.185546875 -1233.8836669921875 1 0042.png

44 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.8193359375 -29046.208984375 -1233.8387451171875 1 0043.png

45 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.816162109375 -29056.232421875 -1233.793701171875 1 0044.png

46 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.813232421875 -29066.2578125 -1233.748779296875 1 0045.png

47 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.81005859375 -29076.28125 -1233.703857421875 1 0046.png

48 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.806884765625 -29086.306640625 -1233.6588134765625 1 0047.png

49 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.803955078125 -29096.330078125 -1233.6138916015625 1 0048.png

